COMBINED_TRACT,COMBINED_BLOCK,pop18_44,pop45_64,pop65plus,pop_total,PSU_MOS_composite,PSU_prob,SSU_MOS_composite,SSU_prob
24033800102,240338001021,320,219,72,611,3.580804885,0.097658315,0.8040566,0.224546331
24033800102,240338001022,633,385,279,1297,3.580804885,0.097658315,1.84349717,0.514827596
24033800102,240338001023,365,219,107,691,3.580804885,0.097658315,0.933251115,0.260626073
24033800103,240338001031,387,214,94,695,2.393286911,0.065271461,0.91937769,0.384148547
24033800103,240338001032,728,367,88,1183,2.393286911,0.065271461,1.473909221,0.615851453
24033800105,240338001051,414,369,190,973,4.330835357,0.118113692,1.382691482,0.319266693
24033800105,240338001052,1190,754,285,2229,4.330835357,0.118113692,2.948143875,0.680733307
24033800108,240338001061,1131,943,347,2421,7.683187731,0.209541484,3.287518463,0.427884698
24033800108,240338001081,938,489,160,1587,7.683187731,0.209541484,2.029753745,0.264181199
24033800108,240338001083,1209,505,172,1886,7.683187731,0.209541484,2.365915523,0.307934103
24033800109,240338001091,667,414,198,1279,3.879650941,0.105808662,1.729951733,0.445903964
24033800109,240338001092,429,248,163,840,3.879650941,0.105808662,1.170959161,0.301820751
24033800109,240338001093,484,220,72,776,3.879650941,0.105808662,0.978740047,0.252275285
24033800203,240338002031,711,706,518,1935,5.712312276,0.155790335,2.920079476,0.511190449
24033800203,240338002032,778,740,413,1931,5.712312276,0.155790335,2.7922328,0.488809551
24033800206,240338002061,535,491,273,1299,4.317793625,0.117758008,1.87013369,0.433122528
24033800206,240338002062,553,436,131,1120,4.317793625,0.117758008,1.48312456,0.343491303
24033800206,240338002063,557,218,34,809,4.317793625,0.117758008,0.964535375,0.223386169
24033800209,240338002091,1235,482,198,1915,4.521584369,0.123315937,2.422748519,0.535818492
24033800209,240338002092,925,399,248,1572,4.521584369,0.123315937,2.09883585,0.464181508
24033800210,240338002101,462,307,129,898,3.347389807,0.091292449,1.206794853,0.360518172
24033800210,240338002102,1142,436,146,1724,3.347389807,0.091292449,2.140594953,0.639481828
24033800211,240338002111,524,281,95,900,3.283722847,0.089556078,1.157645121,0.352540447
24033800211,240338002112,779,409,320,1508,3.283722847,0.089556078,2.126077726,0.647459553
24033800212,240338002121,1067,529,160,1756,7.710527725,0.21028712,2.220503123,0.287983287
24033800212,240338002122,524,333,743,1600,7.710527725,0.21028712,2.739824864,0.355335583
24033800212,240338002123,935,642,381,1958,7.710527725,0.21028712,2.750199738,0.35668113
24033800213,240338002131,1107,737,253,2097,5.122694682,0.139709855,2.762659742,0.539298145
24033800213,240338002132,1037,552,220,1809,5.122694682,0.139709855,2.36003494,0.460701855
24033800216,240338002161,1312,730,210,2252,4.727385715,0.128928701,2.869494647,0.606993975
24033800216,240338002162,464,436,332,1232,4.727385715,0.128928701,1.857891068,0.393006025
24033800217,240338002171,1290,656,306,2252,4.804422927,0.131029716,2.969491264,0.618074493
24033800217,240338002172,528,534,236,1298,4.804422927,0.131029716,1.834931664,0.381925507
24033800218,240338002181,257,210,71,538,5.492641051,0.149799301,0.722899117,0.131612299
24033800218,240338002182,1025,363,142,1530,5.492641051,0.149799301,1.908304675,0.347429344
24033800218,240338002183,1176,720,274,2170,5.492641051,0.149799301,2.861437258,0.520958357
24033800401,240338004011,411,437,261,1109,3.081958598,0.084053416,1.63763334,0.531361239
24033800401,240338004012,389,348,240,977,3.081958598,0.084053416,1.444325258,0.468638761
24033800402,240338004021,289,244,164,697,5.92950972,0.161713901,1.01989133,0.172002641
24033800402,240338004022,594,511,341,1446,5.92950972,0.161713901,2.118303505,0.357247666
24033800402,240338004023,433,403,229,1065,5.92950972,0.161713901,1.539991428,0.259716486
24033800402,240338004024,341,312,200,853,5.92950972,0.161713901,1.251323457,0.211033208
24033800403,240338004031,857,884,449,2190,4.422572443,0.120615612,3.155590229,0.713519172
24033800403,240338004032,340,314,206,860,4.422572443,0.120615612,1.266982214,0.286480828
24033800408,240338004081,906,837,354,2097,8.179832574,0.223086343,2.921852555,0.357202
24033800408,240338004082,676,661,409,1746,8.179832574,0.223086343,2.567632839,0.31389797
24033800408,240338004083,725,744,391,1860,8.179832574,0.223086343,2.69034718,0.32890003
24033800409,240338004091,868,922,416,2206,7.6958082,0.209885678,3.141939333,0.408266325
24033800409,240338004092,393,492,276,1161,7.6958082,0.209885678,1.728419099,0.224592279
24033800409,240338004093,812,714,427,1953,7.6958082,0.209885678,2.825449768,0.367141396
24033800410,240338004101,446,557,213,1216,7.652944567,0.20871667,1.725912591,0.225522683
24033800410,240338004102,1718,627,261,2606,7.652944567,0.20871667,3.2774095,0.428254703
24033800410,240338004103,709,409,113,1231,7.652944567,0.20871667,1.569277605,0.205055399
24033800410,240338004104,296,283,164,743,7.652944567,0.20871667,1.08034487,0.141167215
24033800411,240338004111,1284,920,467,2671,5.36241008,0.146247548,3.697823079,0.6895823
24033800411,240338004112,408,454,264,1126,5.36241008,0.146247548,1.664587001,0.3104177
24033800412,240338004121,553,456,361,1370,4.961096003,0.135302618,2.046800086,0.412570143
24033800412,240338004122,1210,645,325,2180,4.961096003,0.135302618,2.914295917,0.587429857
24033800413,240338004131,1037,481,123,1641,4.309561936,0.117533507,2.037197183,0.472715606
24033800413,240338004132,742,607,284,1633,4.309561936,0.117533507,2.272364753,0.527284394
24033800504,240338005041,588,625,421,1634,5.628391782,0.153501594,2.453645433,0.435940768
24033800504,240338005042,450,374,286,1110,5.628391782,0.153501594,1.651456885,0.29341541
24033800504,240338005043,424,396,230,1050,5.628391782,0.153501594,1.523289464,0.270643822
24033800505,240338005051,396,360,179,935,3.126635294,0.085271872,1.325767477,0.424023704
24033800505,240338005052,518,419,293,1230,3.126635294,0.085271872,1.800867817,0.575976296
24033800507,240338005071,1089,806,248,2143,7.114907713,0.194042938,2.825841752,0.397171947
24033800507,240338005072,347,462,253,1062,7.114907713,0.194042938,1.585345341,0.222820226
24033800507,240338005201,880,714,344,1938,7.114907713,0.194042938,2.703720619,0.380007827
24033800511,240338005111,577,480,201,1258,5.94590844,0.162161139,1.731619239,0.291228709
24033800511,240338005112,344,328,222,894,5.94590844,0.162161139,1.327574687,0.223275333
24033800511,240338005113,446,389,154,989,5.94590844,0.162161139,1.359749786,0.228686634
24033800511,240338005114,362,380,269,1011,5.94590844,0.162161139,1.526964728,0.256809324
24033800513,240338005131,285,285,165,735,7.227279247,0.197107616,1.073772811,0.148572205
24033800513,240338005132,420,394,275,1089,7.227279247,0.197107616,1.62130231,0.224330935
24033800513,240338005133,423,352,152,927,7.227279247,0.197107616,1.280442546,0.177167991
24033800513,240338005134,1083,918,368,2369,7.227279247,0.197107616,3.25176158,0.449928869
24033800514,240338005141,668,789,293,1750,6.818716312,0.18596499,2.462743044,0.361174
24033800514,240338005142,717,767,280,1764,6.818716312,0.18596499,2.454277708,0.359932515
24033800514,240338005143,630,641,156,1427,6.818716312,0.18596499,1.901695559,0.278893486
24033800515,240338005151,635,457,172,1264,4.872688528,0.132891505,1.693985653,0.347649074
24033800515,240338005152,916,778,494,2188,4.872688528,0.132891505,3.178702875,0.652350926
24033800516,240338005161,306,263,185,754,4.477018971,0.122100517,1.112687163,0.248533046
24033800516,240338005162,364,244,58,666,4.477018971,0.122100517,0.851913364,0.190285851
24033800516,240338005163,742,588,398,1728,4.477018971,0.122100517,2.512418444,0.561181103
24033800517,240338005171,781,901,600,2282,6.663172618,0.18172289,3.450599187,0.517861293
24033800517,240338005172,853,965,428,2246,6.663172618,0.18172289,3.212573431,0.482138707
24033800518,240338005181,433,538,354,1325,4.76058066,0.129834018,2.015203883,0.423310522
24033800518,240338005182,689,881,351,1921,4.76058066,0.129834018,2.745376776,0.576689478
24033800519,240338005191,537,642,184,1363,4.398020742,0.11994602,1.8700782,0.425209045
24033800519,240338005192,320,429,125,874,4.398020742,0.11994602,1.213361406,0.275888059
24033800519,240338005193,365,357,190,912,4.398020742,0.11994602,1.314581136,0.298902896
24033800521,240338005211,558,522,264,1344,10.02925733,0.2735252,1.915621387,0.191003314
24033800521,240338005212,367,474,902,1743,10.02925733,0.2735252,3.136578503,0.312742848
24033800521,240338005213,471,451,504,1426,10.02925733,0.2735252,2.286879414,0.228020813
24033800521,240338005214,691,748,404,1843,10.02925733,0.2735252,2.690178031,0.268233025
24033800522,240338005221,439,526,236,1201,4.238006791,0.115582003,1.729989005,0.408208172
24033800522,240338005222,716,845,258,1819,4.238006791,0.115582003,2.508017786,0.591791828
24033800605,240338006051,450,443,214,1107,5.216321901,0.142263325,1.577386835,0.302394458
24033800605,240338006052,450,549,126,1125,5.216321901,0.142263325,1.51633211,0.290689903
24033800605,240338006053,1102,507,115,1724,5.216321901,0.142263325,2.122602957,0.406915638
24033800606,240338006061,540,463,121,1124,5.002792564,0.136439797,1.482791667,0.296392794
24033800606,240338006062,900,709,165,1774,5.002792564,0.136439797,2.300543894,0.459851946
24033800606,240338006063,499,339,99,937,5.002792564,0.136439797,1.219457003,0.24375526
24033800607,240338006071,851,944,605,2400,7.254569306,0.19785189,3.594738079,0.495513645
24033800607,240338006072,337,368,243,948,7.254569306,0.19785189,1.423574575,0.196231439
24033800607,240338006073,665,702,248,1615,7.254569306,0.19785189,2.236256652,0.308254916
24033800608,240338006081,617,693,242,1552,8.159102835,0.222520986,2.159289549,0.264647914
24033800608,240338006082,2259,1961,405,4625,8.159102835,0.222520986,5.999813286,0.735352086
24033800609,240338006091,655,536,383,1574,4.228978567,0.115335779,2.314744862,0.547353179
24033800609,240338006092,576,531,250,1357,4.228978567,0.115335779,1.914233705,0.452646821
24033800701,240338007011,619,652,313,1584,9.38776972,0.256030083,2.271232031,0.241935209
24033800701,240338007012,812,867,235,1914,9.38776972,0.256030083,2.58575723,0.275438928
24033800701,240338007013,1743,1222,440,3405,9.38776972,0.256030083,4.530780459,0.482625863
24033800704,240338007041,541,512,219,1272,10.13364935,0.276372255,1.779089936,0.175562611
24033800704,240338007042,486,423,238,1147,10.13364935,0.276372255,1.644204574,0.16225197
24033800704,240338007043,972,624,166,1762,10.13364935,0.276372255,2.263335395,0.223348501
24033800704,240338007071,986,1169,778,2933,10.13364935,0.276372255,4.447019445,0.438836918
24033800705,240338007051,416,483,317,1216,4.845560677,0.132151655,1.836114165,0.378927081
24033800705,240338007052,814,954,365,2133,4.845560677,0.132151655,3.009446512,0.621072919
24033800706,240338007061,547,643,273,1463,4.525259489,0.123416168,2.089596685,0.461762843
24033800706,240338007062,674,737,309,1720,4.525259489,0.123416168,2.435662804,0.538237157
24033800800,240338008001,329,477,336,1142,4.438138084,0.12104013,1.780322884,0.401141842
24033800800,240338008002,341,374,277,992,4.438138084,0.12104013,1.515268262,0.34141981
24033800800,240338008003,223,346,187,756,4.438138084,0.12104013,1.142546938,0.257438348
24033800900,240338009001,301,342,182,825,1.969923221,0.053725179,1.207877132,0.613159497
24033800900,240338009002,155,210,134,499,1.969923221,0.053725179,0.762046089,0.386840503
24033801003,240338010031,1734,1268,358,3360,6.155031144,0.167864486,4.3925849,0.713657624
24033801003,240338010032,400,491,288,1179,6.155031144,0.167864486,1.762446243,0.286342376
24033801004,240338010041,426,441,202,1069,6.335257553,0.172779751,1.521312076,0.240134211
24033801004,240338010042,498,557,227,1282,6.335257553,0.172779751,1.813523224,0.2862588
24033801004,240338010043,845,937,357,2139,6.335257553,0.172779751,3.000422253,0.473606989
24033801005,240338010051,722,754,351,1827,4.782164732,0.130422675,2.607481938,0.545251384
24033801005,240338010052,622,685,251,1558,4.782164732,0.130422675,2.174682794,0.454748616
24033801006,240338010061,482,472,253,1207,4.328105811,0.118039249,1.741623802,0.402398619
24033801006,240338010062,736,906,247,1889,4.328105811,0.118039249,2.586482009,0.597601381
24033801106,240338011062,637,199,20,856,2.480044533,0.067637578,0.990581055,0.399420672
24033801106,240338011063,1121,188,21,1330,2.480044533,0.067637578,1.489463478,0.600579328
24033801207,240338012071,488,520,292,1300,8.768067266,0.239129107,1.904230328,0.217177888
24033801207,240338012072,924,1030,575,2529,8.768067266,0.239129107,3.718908359,0.424142316
24033801207,240338012151,917,965,370,2252,8.768067266,0.239129107,3.144928579,0.358679796
24033801208,240338012081,592,530,299,1421,4.966869884,0.135460088,2.044073778,0.41154164
24033801208,240338012082,828,876,367,2071,4.966869884,0.135460088,2.922796106,0.58845836
24033801209,240338012091,890,831,344,2065,5.064578352,0.138124864,2.873455914,0.567363305
24033801209,240338012092,591,560,345,1496,5.064578352,0.138124864,2.191122439,0.432636695
24033801210,240338012101,647,628,492,1767,5.21297048,0.142171922,2.685685849,0.51519299
24033801210,240338012102,638,630,427,1695,5.21297048,0.142171922,2.527284631,0.48480701
24033801211,240338012111,522,462,303,1287,3.831145074,0.104485775,1.886917089,0.492520396
24033801211,240338012112,556,476,304,1336,3.831145074,0.104485775,1.944227985,0.507479604
24033801212,240338012121,407,355,267,1029,4.030180447,0.109914012,1.535847942,0.381086644
24033801212,240338012122,655,596,425,1676,4.030180447,0.109914012,2.494332505,0.618913356
24033801213,240338012131,366,330,281,977,4.603122063,0.125539693,1.491161722,0.323945727
24033801213,240338012132,867,731,515,2113,4.603122063,0.125539693,3.111960341,0.676054273
24033801214,240338012141,554,416,251,1221,5.095062941,0.138956262,1.736869504,0.340892649
24033801214,240338012142,734,765,661,2160,5.095062941,0.138956262,3.358193436,0.659107351
24033801216,240338012161,361,362,240,963,4.49575289,0.122611442,1.43377912,0.318918578
24033801216,240338012162,830,723,515,2068,4.49575289,0.122611442,3.06197377,0.681081422
24033801217,240338012171,472,404,207,1083,4.850402636,0.132283708,1.531254609,0.315696391
24033801217,240338012172,771,819,596,2186,4.850402636,0.132283708,3.319148027,0.684303609
24033801302,240338013021,545,572,375,1492,3.489700086,0.095173639,2.228806264,0.638681322
24033801302,240338013022,273,341,218,832,3.489700086,0.095173639,1.260893822,0.361318678
24033801305,240338013051,835,781,458,2074,7.400933801,0.201843649,3.01321057,0.407139241
24033801305,240338013052,774,667,469,1910,7.400933801,0.201843649,2.819314378,0.380940359
24033801305,240338013053,422,393,252,1067,7.400933801,0.201843649,1.568408853,0.2119204
24033801307,240338013071,512,637,721,1870,5.056766867,0.137911824,3.089390047,0.610941759
24033801307,240338013072,476,406,391,1273,5.056766867,0.137911824,1.96737682,0.389058241
24033801308,240338013081,595,518,358,1471,4.515311087,0.123144848,2.168535102,0.480262613
24033801308,240338013082,586,572,407,1565,4.515311087,0.123144848,2.346775986,0.519737387
24033801309,240338013091,394,540,497,1431,4.664425265,0.127211598,2.310250469,0.495291561
24033801309,240338013092,616,621,368,1605,4.664425265,0.127211598,2.354174795,0.504708439
24033801310,240338013101,915,1058,375,2348,7.949847688,0.216814028,3.280994433,0.412711609
24033801310,240338013102,299,402,155,856,7.949847688,0.216814028,1.224410822,0.154016891
24033801310,240338013103,958,963,481,2402,7.949847688,0.216814028,3.444442432,0.4332715
24033801311,240338013111,703,735,477,1915,9.119512594,0.24871398,2.85544513,0.313113788
24033801311,240338013112,632,674,328,1634,9.119512594,0.24871398,2.349886868,0.257676805
24033801311,240338013113,1381,1206,349,2936,9.119512594,0.24871398,3.914180595,0.429209407
24033801312,240338013121,517,376,282,1175,4.771557081,0.130133375,1.715656621,0.359559069
24033801312,240338013122,738,742,543,2023,4.771557081,0.130133375,3.05590046,0.640440931
24033801313,240338013131,460,429,374,1263,3.936749764,0.107365903,1.94210451,0.493326888
