COMBINED_TRACT,COMBINED_BLOCK,pop18_44,pop45_64,pop65plus,n_total,n_1844,n_4564,n_65up
24033800109,240338001091,667,414,198,37,15,12,10
24033800213,240338002131,1107,737,253,37,16,13,8
24033800408,240338004082,676,661,409,37,10,13,14
24033800504,240338005042,450,374,286,37,11,11,15
24033800515,240338005152,916,778,494,36,11,12,13
24033800522,240338005222,716,845,258,37,11,17,9
24033800701,240338007013,1743,1222,440,36,15,13,8
24033801003,240338010031,1734,1268,358,36,15,14,7
24033801208,240338012082,828,876,367,37,11,15,11
24033801216,240338012162,830,723,515,37,11,12,14
24033801310,240338013102,299,402,155,36,9,16,11
24033801406,240338014061,347,264,334,37,9,9,19
24033801701,240338017012,618,493,355,36,11,11,14
24033801808,240338018081,381,268,155,37,13,12,12
24033801907,240338018011,840,482,221,37,16,12,9
24033802204,240338022042,400,340,269,36,10,11,15
24033802502,240338025022,486,363,214,37,13,12,12
24033803002,240338030021,576,455,227,37,13,13,11
24033803512,240338035121,1120,953,463,36,12,13,11
24033803521,240338035212,707,782,862,36,7,10,19
24033803602,240338036022,377,208,176,37,13,10,14
24033803613,240338036131,1240,648,340,37,16,11,10
24033804102,240338041021,769,443,230,36,15,11,10
24033805000,240338050002,756,427,503,36,11,8,17
24033805700,240338057001,842,409,204,37,17,11,9
24033805909,240338059092,1867,546,152,37,24,9,4
24033806601,240338066013,969,266,49,37,25,9,3
24033806714,240338067141,1065,421,75,36,22,11,3
24033807305,240338073051,866,420,205,37,17,11,9
24033807410,240338074101,912,557,1932,37,6,4,27
,,,,,1099,405,346,348
